	index	CC_ID	SRVs	SRVs %	PDB_arches	Uniprot_arches	Tot_nodes	Nodes
0	89	89	1	0.0239865675221875	2	0	1	1REW_C
1	88	88	1	0.0239865675221875	2	0	1	1HE8_A
2	91	91	1	0.0239865675221875	2	0	1	3RF3_C
3	90	90	1	0.0239865675221875	2	0	1	1YCS_A
4	93	93	1	0.0239865675221875	2	0	1	4LRX_A
5	92	92	1	0.0239865675221875	2	0	1	4JGH_D
6	13	13	2	0.0479731350443751	0	1	2	1GL0_I,1GL1_I
7	29	29	2	0.0479731350443751	0	1	2	3U82_B,4MYW_B
8	86	86	2	0.0479731350443751	2	0	1	2A9K_B
9	87	87	2	0.0479731350443751	2	0	1	4U6H_E
10	43	43	2	0.0479731350443751	1	0	2	3BP8_A,3BP8_C
11	85	85	2	0.0479731350443751	2	0	1	1U7F_B
12	49	49	3	0.0719597025665627	1	0	2	2HRK_A,2HRK_B
13	81	81	3	0.0719597025665627	2	0	1	2C0L_A
14	79	79	3	0.0719597025665627	2	0	1	2AW2_B
15	46	46	3	0.0719597025665627	2	0	2	1KBH_B,1KBH_A
16	80	80	3	0.0719597025665627	2	0	1	2B42_A
17	84	84	3	0.0719597025665627	2	0	1	4E6K_G
18	82	82	3	0.0719597025665627	2	0	1	2OOB_A
19	83	83	3	0.0719597025665627	2	0	1	3WWN_A
20	78	78	3	0.0719597025665627	2	0	1	1N8O_E
21	32	32	4	0.0959462700887503	1	2	3	4GNK_A,4GNK_B,4EKD_A
22	22	22	4	0.0959462700887503	0	2	3	2GOX_B,3D5S_C,3D5R_C
23	75	75	4	0.0959462700887503	2	0	1	2BTF_P
24	77	77	4	0.0959462700887503	2	0	1	4N8V_G
